,split0_test_rmse,split1_test_rmse,split2_test_rmse,split3_test_rmse,split4_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,mean_fit_time,std_fit_time,mean_test_time,std_test_time,params,param_n_factors,param_n_epochs,param_lr_all,param_reg_all
22,0.6835281276937908,0.6829046745590461,0.6862946632991026,0.6869177838135349,0.6848262204817531,0.6848942939694455,0.0015417636069954333,3,3.1771016120910645,0.06367031015179733,0.8555645942687988,0.044191382837781755,"{'n_factors': 4, 'n_epochs': 50, 'lr_all': 0.005, 'reg_all': 0.02}",4,50,0.005,0.02
23,0.6823111594065409,0.6815928585034916,0.6850789505131849,0.685797325086614,0.6837438519480933,0.6837048290915849,0.001591917517324601,1,3.172672700881958,0.06672542916640825,0.8387583255767822,0.081236043828388,"{'n_factors': 4, 'n_epochs': 50, 'lr_all': 0.005, 'reg_all': 0.1}",4,50,0.005,0.1
24,0.7134259146343744,0.7115794576807908,0.715808107274741,0.7160681186515625,0.713283208662402,0.7140329613807741,0.0016877987651709504,94,3.1549062728881836,0.06325758506123001,0.8074280738830566,0.07818100016765465,"{'n_factors': 4, 'n_epochs': 50, 'lr_all': 0.02, 'reg_all': 0.005}",4,50,0.02,0.005
25,0.7071474091653729,0.7055270436078368,0.710052278120896,0.7108844177327728,0.7084480542996884,0.7084118405853134,0.0019352945464908636,82,3.0943789005279543,0.01940124499102899,0.7860776424407959,0.03345359998827245,"{'n_factors': 4, 'n_epochs': 50, 'lr_all': 0.02, 'reg_all': 0.02}",4,50,0.02,0.02
26,0.7043700149940809,0.7029556027375066,0.706754237796391,0.7074966609841729,0.7048664391154081,0.7052885911255119,0.001642468989784776,76,3.16658673286438,0.04008131030710458,0.8256370544433593,0.0355302341656705,"{'n_factors': 4, 'n_epochs': 50, 'lr_all': 0.02, 'reg_all': 0.1}",4,50,0.02,0.1
27,0.7118039925803007,0.7113559937134766,0.7147043157723206,0.7149824602732724,0.7130821613892132,0.7131857847457167,0.0014698436678885819,89,0.5471109867095947,0.005987391063230226,0.7915881156921387,0.02997539643555239,"{'n_factors': 10, 'n_epochs': 5, 'lr_all': 0.001, 'reg_all': 0.005}",10,5,0.001,0.005
28,0.7118596366603774,0.7115245836695624,0.7146116425807394,0.7150522403541986,0.7132242361519332,0.7132544678833621,0.0014151237760316304,90,0.5501714706420898,0.009895515415470468,0.78688063621521,0.03813763423360393,"{'n_factors': 10, 'n_epochs': 5, 'lr_all': 0.001, 'reg_all': 0.02}",10,5,0.001,0.02
29,0.7121783049097272,0.7115181289242479,0.7148281449056362,0.7153395643389455,0.7135854283317808,0.7134899142820675,0.0014716960359653778,93,0.5504746913909913,0.009927258683670151,0.7817230701446534,0.04047201085272178,"{'n_factors': 10, 'n_epochs': 5, 'lr_all': 0.001, 'reg_all': 0.1}",10,5,0.001,0.1
30,0.6989443602937532,0.6987555232231522,0.7015961208434852,0.7021658212179723,0.7003823387501639,0.7003688328657053,0.001368756767179645,56,0.5541751384735107,0.018351993168744737,0.762510347366333,0.024268508445482333,"{'n_factors': 10, 'n_epochs': 5, 'lr_all': 0.005, 'reg_all': 0.005}",10,5,0.005,0.005
31,0.6988134505200376,0.6985804234229174,0.7015807323289551,0.7021141794806036,0.7004974081849573,0.7003172387874942,0.0014237822557974533,53,0.5500774383544922,0.017292518036513074,0.7856531143188477,0.042882224052157046,"{'n_factors': 10, 'n_epochs': 5, 'lr_all': 0.005, 'reg_all': 0.02}",10,5,0.005,0.02
