,split0_test_rmse,split1_test_rmse,split2_test_rmse,split3_test_rmse,split4_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,mean_fit_time,std_fit_time,mean_test_time,std_test_time,params,param_n_factors,param_n_epochs,param_lr_all,param_reg_all
27,0.7263492453804666,0.7337336766264542,0.7261758238506938,0.7232149152124816,0.7252453430491366,0.7269438008238467,0.003573095155086115,93,0.05943398475646973,0.0011935566727212159,0.0480189323425293,0.0015215889558033721,"{'n_factors': 10, 'n_epochs': 5, 'lr_all': 0.001, 'reg_all': 0.005}",10,5,0.001,0.005
28,0.7262819597532617,0.733760356751961,0.7262653345635354,0.7232795764592062,0.7252581646959633,0.7269690784447855,0.0035673098926124846,95,0.05775718688964844,0.0007798092950950346,0.0457883358001709,0.0006927165781890705,"{'n_factors': 10, 'n_epochs': 5, 'lr_all': 0.001, 'reg_all': 0.02}",10,5,0.001,0.02
29,0.7265356623705956,0.7340702868714905,0.7264755752373315,0.7235460604102342,0.7255507438050169,0.7272356657389336,0.003584185757375406,99,0.058457803726196286,0.0014579671174946263,0.046029520034790036,0.002086859022234718,"{'n_factors': 10, 'n_epochs': 5, 'lr_all': 0.001, 'reg_all': 0.1}",10,5,0.001,0.1
30,0.7173372047996408,0.7239741947745008,0.7168878192709514,0.714595349106022,0.7163067311578987,0.7178202598218026,0.003214483506834751,63,0.05807008743286133,0.0009872373072384929,0.04640665054321289,0.0020030410003457513,"{'n_factors': 10, 'n_epochs': 5, 'lr_all': 0.005, 'reg_all': 0.005}",10,5,0.005,0.005
31,0.7173552623058348,0.7240479214270189,0.7168719695988678,0.7145368015155447,0.7162836368070963,0.7178191183308724,0.0032570400159994033,62,0.05843348503112793,0.0016276519075795384,0.04663400650024414,0.0019670266709940084,"{'n_factors': 10, 'n_epochs': 5, 'lr_all': 0.005, 'reg_all': 0.02}",10,5,0.005,0.02
32,0.717562638322802,0.724409651698053,0.7170903512790504,0.7147223930005463,0.716523943736513,0.718061795607393,0.003316767618418358,67,0.057320451736450194,0.0008388057562024177,0.04543347358703613,0.0007417409204833838,"{'n_factors': 10, 'n_epochs': 5, 'lr_all': 0.005, 'reg_all': 0.1}",10,5,0.005,0.1
33,0.7142982795562807,0.7201041660954951,0.7132114828819514,0.7112341012196411,0.7139780794140671,0.714565221833487,0.0029673176988845814,10,0.05858116149902344,0.0020381992404865782,0.048187637329101564,0.004240609320402484,"{'n_factors': 10, 'n_epochs': 5, 'lr_all': 0.02, 'reg_all': 0.005}",10,5,0.02,0.005
34,0.714311461541504,0.7201370533314579,0.713301868443416,0.7111279391297107,0.7140128987712177,0.7145782442434613,0.002994157228695869,11,0.058385181427001956,0.0012959043145377746,0.045945024490356444,0.0012478826571658632,"{'n_factors': 10, 'n_epochs': 5, 'lr_all': 0.02, 'reg_all': 0.02}",10,5,0.02,0.02
35,0.714450742085836,0.7202843397492068,0.7134880574906957,0.7111661375988668,0.7141081195687492,0.7146994792986708,0.003018419757011751,13,0.05782651901245117,0.0008628983606127592,0.044148731231689456,0.001090477075775012,"{'n_factors': 10, 'n_epochs': 5, 'lr_all': 0.02, 'reg_all': 0.1}",10,5,0.02,0.1
36,0.7181068380949865,0.7247264369062485,0.7176948889389559,0.7152666898332806,0.7169605782394569,0.7185510864025857,0.003236737911541857,73,0.14824490547180175,0.0044068723401286735,0.05398540496826172,0.00884173746700395,"{'n_factors': 10, 'n_epochs': 20, 'lr_all': 0.001, 'reg_all': 0.005}",10,20,0.001,0.005
37,0.7180994367050696,0.7247913080180644,0.7176514137488437,0.7152707316089926,0.7170567332788254,0.7185739246719592,0.0032540736021499715,75,0.15003523826599122,0.006890457746417739,0.06486649513244629,0.00913149101272843,"{'n_factors': 10, 'n_epochs': 20, 'lr_all': 0.001, 'reg_all': 0.02}",10,20,0.001,0.02
38,0.7183677077694274,0.7252328208225722,0.7179168018101147,0.7154977761804122,0.7172956904488857,0.7188621594062825,0.0033315584873097603,80,0.14892888069152832,0.00657317240075776,0.06716527938842773,0.005015317445888333,"{'n_factors': 10, 'n_epochs': 20, 'lr_all': 0.001, 'reg_all': 0.1}",10,20,0.001,0.1
39,0.7140800101561174,0.7197122801050804,0.712825720821285,0.7112503995139836,0.7140889117007145,0.714391464459436,0.002857182641056031,4,0.14701566696166993,0.0058727492438564646,0.06269941329956055,0.0011326095576317582,"{'n_factors': 10, 'n_epochs': 20, 'lr_all': 0.005, 'reg_all': 0.005}",10,20,0.005,0.005
40,0.7140841468437441,0.7197340873635779,0.7127977460079035,0.7110581511665893,0.7139673475913316,0.7143282957946293,0.0029137228193684885,1,0.149076509475708,0.005231564814701028,0.06912841796875,0.004495257292935979,"{'n_factors': 10, 'n_epochs': 20, 'lr_all': 0.005, 'reg_all': 0.02}",10,20,0.005,0.02
41,0.7141102281380187,0.7199486206175839,0.7129927150260966,0.7110988158421956,0.7140551874745173,0.7144411134196823,0.0029617518614065644,5,0.15099821090698243,0.003744904173689843,0.06027498245239258,0.01246526575157588,"{'n_factors': 10, 'n_epochs': 20, 'lr_all': 0.005, 'reg_all': 0.1}",10,20,0.005,0.1
